"","site","n","hab","strat","lat.dd","lon.dd"
"1",34030001,207,"SPGR","HRRF",25.1436166666667,-80.2572166666667
"2",34030002,137,"SPGR","HRRF",25.1397833333333,-80.25945
"3",34030003,128,"SPGR","HRRF",25.1408166666667,-80.2590833333333
"4",34030004,309,"SPGR","HRRF",25.1098333333333,-80.3041666666667
"5",34030005,409,"SPGR","HRRF",25.1225,-80.2975
"6",34030006,270,"SPGR","HRRF",25.2195,-80.2108333333333
"7",34030007,129,"SPGR","HRRF",25.2105,-80.2171666666667
"8",34030008,1021,"SPGR","HRRF",25.0353333333333,-80.3473333333333
"9",34030009,2002,"SPGR","HRRF",25.0091833333333,-80.3739333333333
"10",34030010,150,"SPGR","HRRF",25.119,-80.3001666666667
"11",34030011,721,"CONT","FMLR",25.0526666666667,-80.3336666666667
"12",34030012,135,"SPGR","FSLR",25.2135,-80.2168333333333
"13",34030013,223,"SPGR","HRRF",25.14455,-80.25655
"14",34030014,362,"SPGR","HRRF",25.146,-80.2558333333333
"15",34030015,37,"SPGR","HRRF",25.1475,-80.2926666666667
"16",34030016,33,"SPGR","FMLR",25.13615,-80.2593166666667
"17",34030017,76,"SPGR","HRRF",25.142,-80.2584166666667
"18",34030018,163,"ISOL","MCPR",25.1383333333333,-80.3116666666667
"19",34030019,13,"ISOL","OFPR",25.1693333333333,-80.259
"20",34030021,32,"CONT","FMLR",25.23,-80.2123333333333
"21",34030022,86,"SPGR","HRRF",25.1408166666667,-80.2590833333333
"22",34030023,280,"SPGR","HRRF",25.1363333333333,-80.2903333333333
"23",34030024,241,"SPGR","HRRF",25.0105,-80.3728333333333
"24",34030025,9,"SPGR","FMLR",25.1483333333333,-80.2525
"25",34030028,213,"SPGR","HRRF",25.1306666666667,-80.2943333333333
"26",34030029,36,"SPGR","FMLR",25.1343333333333,-80.2638333333333
"27",34030030,84,"SPGR","HRRF",25.0183333333333,-80.3676666666667
"28",34030031,175,"SPGR","HRRF",25.1388333333333,-80.261
"29",34030032,44,"SPGR","HRRF",25.1076666666667,-80.3073333333333
"30",34030036,86,"SPGR","FDLR",25.0701666666667,-80.3161666666667
"31",34030039,47,"SPGR","HRRF",25.1381666666667,-80.26
"32",34030040,15,"RUBB","FMLR",25.1473333333333,-80.2576666666667
"33",34030041,12,"CONT","FMLR",25.186,-80.2425
"34",34030042,9,"ISOL","OFPR",25.1693333333333,-80.2663333333333
"35",34030043,53,"SPGR","FDLR",25.1333333333333,-80.2585
"36",34030044,11,"ISOL","OFPR",25.1525,-80.2673333333333
"37",34030045,65,"ISOL","OFPR",25.0416666666667,-80.37
"38",34030046,87,"ISOL","MCPR",25.1118333333333,-80.3416666666667
"39",34030048,7,"ISOL","OFPR",25.0216666666667,-80.3961666666667
"40",34030052,16,"ISOL","MCPR",25.0231666666667,-80.4241666666667
"41",34030054,5,"ISOL","OFPR",25.111,-80.3056666666667
"42",34030056,30,"SPGR","HRRF",25.3003333333333,-80.215
"43",34030057,13,"SPGR","FMLR",25.2488333333333,-80.1963333333333
"44",34030060,16,"ISOL","MCPR",25.0176666666667,-80.44
"45",34030061,8,"SPGR","FDLR",25.0253333333333,-80.3591666666667
"46",34030064,13,"ISOL","MCPR",25.0453333333333,-80.395
"47",34030065,5,"ISOL","MCPR",25.037,-80.3996666666667
"48",34030071,232,"SPGR","FMLR",24.982,-80.4216666666667
"49",34030072,10,"SPGR","FDLR",25.007,-80.3726666666667
"50",34030073,63,"RUBB","FSLR",25.052,-80.338
"51",34030074,64,"CONT","FMLR",25.0633333333333,-80.325
"52",34030075,64,"SPGR","FDLR",25.0718333333333,-80.3151666666667
"53",34030076,62,"SPGR","FMLR",25.0758333333333,-80.3133333333333
"54",34030078,206,"SPGR","HRRF",25.0101666666667,-80.3733333333333
"55",34030079,200,"SPGR","HRRF",25.0111666666667,-80.373
"56",34030082,9,"ISOL","MCPR",25.269,-80.2445
"57",34030083,67,"CONT","FSLR",25.2343333333333,-80.2255
"58",34030085,9,"ISOL","OFPR",25.0247333333333,-80.3809333333333
"59",34030100,5,"ISOL","OFPR",25.2095666666667,-80.24685
"60",34030149,70,"SPGR","HRRF",25.0336666666667,-80.3489833333333
"61",34030168,70,"SPGR","HRRF",25.0084166666667,-80.3767833333333
"62",34030169,116,"SPGR","HRRF",25.00965,-80.3745166666667
"63",34030178,53,"RUBB","FSLR",25.0421666666667,-80.3480333333333
"64",34030179,17,"SPGR","HRRF",25.0336,-80.3480166666667
"65",34030182,59,"SPGR","HRRF",25.00805,-80.3776833333333
"66",34030186,11,"SPGR","HRRF",25.0082333333333,-80.3772333333333
"67",34030212,16,"ISOL","OFPR",24.98255,-80.4362333333333
"68",34030230,10,"SPGR","HRRF",25.03305,-80.3497166666667
"69",34030237,7,"SPGR","HRRF",25.19985,-80.2159833333333
"70",34030241,7,"ISOL","OFPR",25.1495333333333,-80.2712166666667
